Symbol,Name
BBDCHF=X,BBD/CHF
BRLARS=X,BRL/ARS
BWPJPY=X,BWP/JPY
BNDCHF=X,BND/CHF
BRLILS=X,BRL/ILS
BWPPEN=X,BWP/PEN
BZDEUR=X,BZD/EUR
BWPPKR=X,BWP/PKR
BWPSGD=X,BWP/SGD
BMS.PA,BMS.PA
BWPAED=X,BWP/AED
BRLCOP=X,BRL/COP
BRLIDR=X,BRL/IDR
BWPCOP=X,BWP/COP
BWPKWD=X,BWP/KWD
BNDXDR=X,BND/XDR
BHDPKR=X,BHD/PKR
BNDDKK=X,BND/DKK
BWPCNH=X,BWP/CNH
BGNPLN=X,BGN/PLN
BHDUSD=X,BHD/USD
BHDQAR=X,BHD/QAR
BBDGBP=X,BBD/GBP
BWPCZK=X,BWP/CZK
BWPTHB=X,BWP/THB
BYR=X,USD/BYR
BWPLKR=X,BWP/LKR
BDTUSD=X,BDT/USD
BHDHKD=X,BHD/HKD
BWPSBD=X,BWP/SBD
BRLMXN=X,BRL/MXN
BWPKRW=X,BWP/KRW
BWPUGX=X,BWP/UGX
BWPUSD=X,BWP/USD
BAMUSD=X,BAM/USD
BTNEUR=X,BTN/EUR
BRLPYG=X,BRL/PYG
BWPTWD=X,BWP/TWD
BDTJPY=X,BDT/JPY
BOBEUR=X,BOB/EUR
BHDGBP=X,BHD/GBP
BGNEUR=X,BGN/EUR
BRLUSD=X,BRL/USD
BWPGHS=X,BWP/GHS
BRLSEK=X,BRL/SEK
BHDSGD=X,BHD/SGD
BAM=X,USD/BAM
BZDUSD=X,BZD/USD
BWPRWF=X,BWP/RWF
BGN=X,USD/BGN
BBD=X,USD/BBD
BWPTND=X,BWP/TND
BWPILS=X,BWP/ILS
BRLKRW=X,BRL/KRW
BWPANG=X,BWP/ANG
BOBPYG=X,BOB/PYG
BRLVEF=X,BRL/VEF
BWPHRK=X,BWP/HRK
BWPCLP=X,BWP/CLP
BWPAFN=X,BWP/AFN
BSDUSD=X,BSD/USD
BOBARS=X,BOB/ARS
BDTGBP=X,BDT/GBP
BSDCHF=X,BSD/CHF
BWPMXN=X,BWP/MXN
BWPDKK=X,BWP/DKK
BWPCAD=X,BWP/CAD
BOBGBP=X,BOB/GBP
BDTSEK=X,BDT/SEK
BWPSAR=X,BWP/SAR
BHDDKK=X,BHD/DKK
BSDEUR=X,BSD/EUR
BGNTRY=X,BGN/TRY
BRLJPY=X,BRL/JPY
BWPPHP=X,BWP/PHP
BRLGBP=X,BRL/GBP
BGNCZK=X,BGN/CZK
BRL=X,USD/BRL
BDTCHF=X,BDT/CHF
BHDKWD=X,BHD/KWD
BWPMOP=X,BWP/MOP
BDTEUR=X,BDT/EUR
BSD=X,USD/BSD
BGNTHB=X,BGN/THB
BWPBRL=X,BWP/BRL
BGNUSD=X,BGN/USD
BWPZWL=X,BWP/ZWL
