Ticker,Name,Exchange
^HOXFLATGBG,NASDAQ OMX Valueguard Flats Got,STO
^HOXHOUSEMLM,NASDAQ OMX Valueguard-KTH House,STO
^SX8700PI,OMX Stockholm Financial Service,STO
^SX9530PI,OMX Stockholm Software & Comput,STO
^NOMXCRRNFSP,NOMX Credit SEK Rated Non-Finan,STO
^NOMXNTIGI,NASDAQ OMX Nordic Telecom & Inf,STO
^NOMXNHCSEKNI,NASDAQ OMX Nordic Health Care S,STO
^NOMXCRFSP,NOMX Credit SEK Financial Sprea,STO
^NOMXNINSEK,NASDAQ OMX Nordic Industrials S,STO
^NOMXNHC,NASDAQ OMX Nordic Health Care,STO
^NOMXNCRSEKNI,NASDAQ OMX Nordic Const & Real,STO
^NOMXNCOSEK,NASDAQ OMX Nordic Consumer SEK,STO
^NOMXNTISEKGI,NASDAQ OMX Nordic Tele & InfoTe,STO
^NOMXNENSEKNI,NASDAQ OMX Nordic Energy SEK Ne,STO
^NOMXNHCSEKGI,NASDAQ OMX Nordic Health Care S,STO
^NOMXNMASEKNI,NASDAQ OMX Nordic Materials SEK,STO
^NOMXNBINI,NASDAQ OMX Nordic Bank & Insura,STO
^NOMXN120SEK,NASDAQ OMX Nordic 120 SEK,STO
^NOMXCRFTR,NOMX Credit SEK Financial Retur,STO
^NOMXCRRNFTR,NOMX Credit SEK Rated Non-Finan,STO
^NOMXNCRSEKGI,NASDAQ OMX Nordic Const & Real,STO
^NOMXCRRFTR,NOMX Credit SEK Rated Financial,STO
^NOMXNTINI,NASDAQ OMX Nordic Telecom & Inf,STO
^NOMXNCO,NASDAQ OMX Nordic Consumer,STO
^NOMXNTISEKNI,NASDAQ OMX Nordic Tele & InfoTe,STO
^NOMXCRPR,NOMX Credit SEK Total Price Ind,STO
^NOMXNINSEKNI,NASDAQ OMX Nordic Industrials S,STO
^NOMXCRRTR,NOMX Credit SEK Rated Total Ret,STO
^NOMXCRRFSP,NOMX Credit SEK Rated Financial,STO
^NOMXN120NI,NASDAQ OMX Nordic 120 Net Index,STO
^NOMXCRFPR,NOMX Credit SEK Financial Price,STO
^NOMXNICSEKNI,NASDAQ OMX Nordic Invest Compan,STO
^NOMXNICGI,NASDAQ OMX Nordic Investment Co,STO
^NOMXNENSEK,NASDAQ OMX Nordic Energy SEK,STO
^NOMXNCRSEK,NASDAQ OMX Nordic Const & Real,STO
^NOMXNCONI,NASDAQ OMX Nordic Consumer Net,STO
^NOMXNMANI,NASDAQ OMX Nordic Materials Net,STO
^NOMXNICNI,NASDAQ OMX Nordic Investment Co,STO
